2,256,7681,22846,30720
4,256,7681,27448,35328
6,256,7681,22842,30720
8,256,7681,21557,29440
10,256,7681,34620,42496
12,256,7681,32579,40448
14,256,7681,32591,40448
16,256,7681,18770,26624
18,256,7681,26180,34048
20,256,7681,29753,37632
22,256,7681,16699,24576
24,256,7681,30266,38144
26,256,7681,25916,33792
28,256,7681,37694,45568
30,256,7681,30740,38400
32,256,7681,36941,44800
34,256,7681,30757,38400
36,256,7681,32982,40704
38,256,7681,30756,38400
40,256,7681,30038,37888
132,256,7681,29762,37632
134,256,7681,30278,38144
136,256,7681,18774,26624
138,256,7681,37714,45568
140,256,7681,32583,40448
142,256,7681,36925,44800
144,256,7681,21570,29440
146,256,7681,33003,40704
148,256,7681,27448,35328
150,256,7681,30064,37888
152,256,7681,22842,30720
154,256,7681,30761,38400
156,256,7681,22842,30720
158,256,7681,30756,38400
160,256,7681,34644,42496
162,256,7681,30744,38400
164,256,7681,32600,40448
166,256,7681,25912,33792
168,256,7681,26197,34048
170,256,7681,16704,24576
262,256,7681,27461,35328
264,256,7681,21562,29440
266,256,7681,26177,34048
268,256,7681,18778,26624
270,256,7681,33008,40704
272,256,7681,25945,33792
274,256,7681,22847,30720
276,256,7681,30043,37888
278,256,7681,37714,45568
280,256,7681,30291,38144
282,256,7681,32583,40448
284,256,7681,30762,38400
286,256,7681,29758,37632
288,256,7681,32609,40448
290,256,7681,30757,38400
292,256,7681,22872,30720
294,256,7681,16729,24576
392,256,7681,21570,29440
394,256,7681,18774,26624
396,256,7681,27453,35328
398,256,7681,25945,33792
400,256,7681,26206,34048
402,256,7681,30056,37888
404,256,7681,32995,40704
406,256,7681,30279,38144
408,256,7681,22859,30720
410,256,7681,30765,38400
412,256,7681,37723,45568
414,256,7681,32592,40448
416,256,7681,32575,40448
418,256,7681,22876,30720
420,256,7681,29758,37632
422,256,7681,30745,38400
424,256,7681,30770,38400
426,256,7681,34628,42496
428,256,7681,16712,24576
430,256,7681,36950,44800
522,256,7681,37718,45568
524,256,7681,22872,30720
526,256,7681,32609,40448
528,256,7681,32983,40704
530,256,7681,29754,37632
532,256,7681,26206,34048
534,256,7681,30765,38400
536,256,7681,27474,35328
538,256,7681,16704,24576
540,256,7681,21565,29440
542,256,7681,36938,44800
544,256,7681,18778,26624
546,256,7681,34633,42496
548,256,7681,25937,33792
550,256,7681,30749,38400
552,256,7681,30035,37888
554,256,7681,22872,30720
556,256,7681,30283,38144
558,256,7681,32596,40448
560,256,7681,30757,38400
652,256,7681,22851,30720
654,256,7681,32987,40704
656,256,7681,37702,45568
658,256,7681,26176,34048
660,256,7681,32575,40448
662,256,7681,27461,35328
664,256,7681,29787,37632
666,256,7681,21574,29440
668,256,7681,30762,38400
670,256,7681,18782,26624
672,256,7681,16704,24576
674,256,7681,25921,33792
676,256,7681,36947,44800
678,256,7681,30043,37888
680,256,7681,34645,42496
682,256,7681,30282,38144
684,256,7681,30740,38400
686,256,7681,30757,38400
688,256,7681,22872,30720
690,256,7681,32575,40448
782,256,7681,32987,40704
784,256,7681,26180,34048
786,256,7681,22851,30720
788,256,7681,27452,35328
790,256,7681,37715,45568
792,256,7681,21566,29440
794,256,7681,32575,40448
796,256,7681,18774,26624
798,256,7681,29779,37632
800,256,7681,25920,33792
802,256,7681,30757,38400
804,256,7681,30035,37888
806,256,7681,16695,24576
808,256,7681,30274,38144
810,256,7681,36946,44800
812,256,7681,30757,38400
814,256,7681,34641,42496
816,256,7681,32579,40448
818,256,7681,30744,38400
820,256,7681,22868,30720
912,256,7681,26205,34048
914,256,7681,27457,35328
916,256,7681,33004,40704
918,256,7681,21570,29440
920,256,7681,22872,30720
922,256,7681,18749,26624
924,256,7681,37715,45568
926,256,7681,25916,33792
928,256,7681,32575,40448
930,256,7681,30044,37888
932,256,7681,29771,37632
934,256,7681,30274,38144
936,256,7681,30757,38400
938,256,7681,30757,38400
940,256,7681,16699,24576
942,256,7681,32604,40448
944,256,7681,36933,44800
946,256,7681,22863,30720
948,256,7681,34628,42496
950,256,7681,30732,38400
1042,256,7681,27482,35328
1044,256,7681,21570,29440
1046,256,7681,26218,34048
1048,256,7681,18773,26624
1050,256,7681,33007,40704
1052,256,7681,25920,33792
1054,256,7681,22850,30720
1056,256,7681,30048,37888
1058,256,7681,37706,45568
1060,256,7681,30282,38144
1062,256,7681,32621,40448
1064,256,7681,30770,38400
1066,256,7681,29779,37632
1068,256,7681,32571,40448
1172,256,7681,21566,29440
1174,256,7681,18769,26624
1176,256,7681,27462,35328
1178,256,7681,25921,33792
1180,256,7681,26198,34048
1182,256,7681,30182,37888
1184,256,7681,32987,40704
1186,256,7681,30283,38144
1188,256,7681,22863,30720
1190,256,7681,30757,38400
1192,256,7681,37693,45568
1194,256,7681,32596,40448
1196,256,7681,32580,40448
1198,256,7681,22847,30720
1200,256,7681,29758,37632
1202,256,7681,30736,38400
1204,256,7681,30757,38400
1206,256,7681,34649,42496
1208,256,7681,16708,24576
1210,256,7681,36937,44800
1302,256,7681,25916,33792
1304,256,7681,30043,37888
1306,256,7681,18757,26624
1308,256,7681,30279,38144
